p1_0.08_i1_0.1_d1_0.01
p2_0.1_i2_0.001_d2_0.01



-20	14.30	-17.87		
-21	-166.72	-17.87		
-22	14.30	-17.87		
-23	-0.32	0.00		
1	-0.32	0.00		
1	-0.32	0.00		
2	-0.32	0.00		
2	-166.72	0.00		
2	-0.32	0.00		
1	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
-1	-0.32	0.00		
-2	-0.32	0.00		
-3	-0.32	0.00		
-3	-0.32	0.00		
-3	-0.32	0.00		
-2	-0.32	0.00		
0	-0.32	0.00		
0	-166.72	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
0	-0.32	0.00		
1	-0.32	0.00		
2	-0.32	0.00		
4	-0.32	0.00		
5	-0.32	0.00		
7	-0.32	-0.32		
8	-0.32	-0.32		
8	0.00	-166.72		
8	0.00	-0.65		
7	-166.72	-0.65		
7	-0.32	-0.65		
6	-166.72	-0.65		
6	-0.32	-0.65		
6	0.00	-0.65		
6	0.00	-0.65		
7	0.32	-0.65		
6	-166.72	-0.65		
6	0.32	-0.65		
5	0.65	-0.65		
5	-166.72	-0.97		
4	0.32	-166.72		
4	0.65	-0.97		
3	0.65	-0.97		
3	0.65	-166.72		
3	0.65	-1.30		
2	0.65	-1.30		
2	0.65	-1.30		
2	0.65	-1.30		
1	0.97	-1.63		
1	0.97	-1.95		
0	0.97	-1.95		
0	1.30	-2.27		
0	-166.72	-2.27		
0	1.30	-2.27		
0	1.63	-2.27		
-1	1.63	-2.60		
-1	1.95	-2.60		
-2	1.95	-2.60		
-2	1.95	-2.93		
-3	1.95	-2.93		
-4	1.95	-3.25		
-4	1.95	-2.93		
-4	-166.72	-2.93		
-5	1.95	-3.25		
-6	-166.72	-3.25		
-6	1.95	-3.25		
-7	1.95	-2.93		
-8	1.63	-2.27		
-10	1.30	-1.63		
-11	0.65	-0.97		
-12	-166.72	0.00		
-12	0.00	0.65		
-13	-0.32	1.95		
-14	-1.30	2.60		
-14	-2.27	3.90		
-13	-3.25	4.88		
-13	-4.23	5.85		
-12	-5.20	6.82		
-12	-6.50	7.80		
-12	-7.15	9.10		
-11	-8.45	10.07		
-10	-9.10	11.05		
-9	-166.72	12.02		
-8	-10.07	12.67		
-7	-166.72	-166.72		
-6	-166.72	13.65		
-5	-11.38	14.30		
-4	-166.72	14.95		
-2	-166.72	15.60		
-1	-166.72	15.92		
0	-166.72	16.25		
0	-12.67	16.90		
1	-13.00	17.22		
2	-166.72	17.87		
4	-13.65	17.87		
6	-166.72	18.20		
8	-13.65	18.20		
11	-166.72	18.52		
13	-13.97	18.52		
14	-166.72	18.20		
15	-13.65	17.87		
17	-166.72	17.22		
18	-13.32	16.57		
19	-12.35	15.92		
20	-11.70	15.27		
22	-166.72	13.97		
22	-166.72	13.32		
23	-10.40	12.35		
24	-9.42	11.38		
25	-166.72	10.07		
25	-7.48	9.10		
25	-166.72	7.80		
25	-5.52	6.82		
26	-166.72	5.20		
26	-3.25	3.90		
27	-166.72	2.27		
27	-0.65	0.97		
28	-166.72	-0.65		
27	1.63	-2.27		
27	-166.72	-3.90		
26	4.23	-5.52		
24	5.85	-7.48		
23	-166.72	-9.10		
21	8.13	-10.07		
20	-166.72	-11.70		
19	10.07	-12.67		
17	11.38	-14.30		
15	13.00	-15.27		
13	14.30	-16.57		
12	-166.72	-17.87		
10	-166.72	-18.52		
7	-166.72	-19.17		
5	16.25	-19.82		
2	-166.72	-20.47		
0	17.55	-20.80		
-2	17.87	-21.12		
